'ai'zi'bing'fang'zhi'tiao'li 艾滋病防治条例
'xing'zheng'bu'men 行政部门
'xing'zheng'cheng'fa 行政惩罚
'xing'zheng'chu'fa 行政处罚
'xing'zheng'chu'fa'fa 行政处罚法
'xing'zheng'chu'fa'jue'ding'shu'zi'hao 行政处罚决定书字号
'xing'zheng'chu'fa'jue'ding'tong'zhi'shu 行政处罚决定通知书
'xing'zheng'chu'fa'tong'zhi'shu 行政处罚通知书
'xing'zheng'chu'fen 行政处分
'xing'zheng'cuo'shi 行政措施
'xing'zheng'fa 行政法
'xing'zheng'fa'gui'ji'gui'ze 行政法规及规则
'xing'zheng'fa'yuan 行政法院
'xing'zheng'fu'yi 行政复议
'xing'zheng'fu'yi'fa 行政复议法
'xing'zheng'guan'li'tiao'li 行政管理条例
'xing'zheng'gui'li 行政规例
'xing'zheng'ji'guan 行政机关
'xing'zheng'ji'qi 行政机器
'xing'zheng'jian'cha'fa 行政监察法
'xing'zheng'jian'cha'fa'shi'shi'tiao'li 行政监察法实施条例
'xing'zheng'ju'liu 行政拘留
'xing'zheng'pei'chang 行政赔偿
'xing'zheng'qiang'zhi'cuo'shi 行政强制措施
'xing'zheng'qin'quan 行政侵权
'xing'zheng'qu'yu'hua'fen 行政区域划分
'xing'zheng'quan'li 行政权利
'xing'zheng'shang'su 行政上诉
'xing'zheng'shen'pan'ting 行政审判庭
'xing'zheng'shen'pi'zhi'du 行政审批制度
'xing'zheng'su'song 行政诉讼
'xing'zheng'su'song'fa 行政诉讼法
'xing'zheng'xu'ke'fa 行政许可法
'xing'zheng'xue'yuan 行政学院
'xing'zheng'ze'ren 行政责任
'xing'zheng'zhi'quan 行政职权
'xing'zhong 刑重
'xing'zi'hai'shi'xing'she 姓资还是姓社
'xiu'ding 修订
'xiu'gai 修改
'xiu'gai'quan 修改权
'xiu'li 修理
'xiu'ting 休庭
'xiu'xian 修宪
'xu'fu'kuan'de'zhai'wu'ren 须付款的债务人
'xu'fu'kuan'yu'chi'you'ren'de'zhi'piao 须付款予持有人的支票
'xu'kai'zeng'zhi'shui'fa'piao 虚开增值税发票
'xu'ke 许可
'xu'ke'zheng'zhi'du 许可证制度
'xu'mu'fa 畜牧法
'xu'nuo 许诺
'xu'nuo'de 许诺的
'xu'nuo'de'lv'xing 许诺的履行
'xu'nuo'ren 许诺人
'xu'qiu'peng'zhang 需求膨胀
'xu'wei'cun'kuan 虚伪存款
'xuan'bu 宣布
'xuan'bu'kai'ting 宣布开庭
'xuan'bu'wu'xiao 宣布无效
'xuan'bu'wu'zui 宣布无罪
'xuan'bu'you'zui 宣布有罪
'xuan'chuan'bu 宣传部
'xuan'gao 宣告
'xuan'gao'shi'zong 宣告失踪
'xuan'gao'shi'zong'an'jian 宣告失踪案件
'xuan'gao'si'wang 宣告死亡
'xuan'gao'si'wang'an'jian 宣告死亡案件
'xuan'gao'wu'xiao 宣告无效
'xuan'ju 选举
'xuan'ju'fa 选举法
'xuan'ju'quan 选举权
'xuan'min'zi'ge'an'jian 选民资格案件
'xuan'pan 宣判
'xuan'pan'bi'lu 宣判笔录
'xuan'shi'shu 宣誓书
'xuan'ze'quan 选择权
'xuan'ze'zhi'zhai 选择之债
'xue'jian'rong'yuan 削减冗员
'xue'qian'lin'chuang'jian'yan'ji'shu'gui'fan 血铅临床检验技术规范
'xue'sheng'jun'shi'xun'lian'gong'zuo'gui'ding 学生军事训练工作规定
'xue'wei'wei'yuan'hui 学位委员会
'xue'xi'chong'bing'fang'zhi'tiao'li 血吸虫病防治条例
'xue'zhan'guan'li'ban'fa 血站管理办法
'xun'gong'su'cheng'xu 循公诉程序
'xun'gong'su'cheng'xu'ding'zui 循公诉程序定罪
'xun'huan'ling'zhuang 循环令状
'xun'jie 训诫
'xun'shi'guan 巡视官
'xun'si'wu'bi 徇私舞弊
'xun'su 迅速
'xun'su'fan'tan 迅速反弹
'xun'wen 讯问
'xun'wen 询问
'xun'wen'bi'lu 讯问笔录
'xun'wen'fan'zui'xian'yi'ren 询问犯罪嫌疑人
'xun'wen'zheng'ren 询问证人
'xun'xin'zi'shi 寻衅滋事
'xun'zhang 勋章
'xun'zheng'shi'qi'yue'fa 训政时期约法
'xun'zu 寻租
'ya'jin 押金
'ya'pian 鸦片
'ya'piao 压票
'ya'song'ren'yuan 押送人员
'ya'tai'kong'jian'he'zuo'zu'zhi'gong'yue 亚太空间合作组织公约
'ya'tai'mao'yi'xie'ding 亚太贸易协定
'yan'cao'pai'mai'hang'pai'mai'gui'ze 烟草拍卖行拍卖规则
'yan'cao'zhuan'mai'fa 烟草专卖法
'yan'cao'zhuan'mai'fa'shi'shi'tiao'li 烟草专卖法实施条例
'yan'cao'zhuan'mai'ju 烟草专卖局
'yan'cao'zong'gong'si 烟草总公司
'yan'ci'zheng'ju 言词证据
'yan'hai'hang'biao'guan'li'ban'fa 沿海航标管理办法
'yan'huo 验货
'yan'pin'da'lv'shi 延聘大律师
'yan'ye'guan'li'tiao'li 盐业管理条例
'yan'ye'shui'zan'xing'tiao'li 烟叶税暂行条例
'yan'zhong'cheng'du 严重程度
'yan'zhong'que'xian 严重缺陷
'yan'zi'bao'gao 验资报告
'yang'fu'mu 养父母
'yang'lao'bao'xian 养老保险
'yang'lao'fu'you 养老抚幼
'yang'lao'ji'jin 养老基金
'yang'nv 养女
'yao'jian'zhan 药检站
'yao'pin'cha'bi'jia'gui'ze 药品差比价规则
'yao'pin'guan'li'fa 药品管理法
'yao'pin'guan'li'fa'shi'shi'tiao'li 药品管理法实施条例
'yao'pin'guang'gao'shen'cha'ban'fa 药品广告审查办法
'yao'pin'guang'gao'shen'cha'fa'bu'biao'zhun 药品广告审查发布标准
'yao'pin'jian'du'guan'li'ju 药品监督管理局
'yao'pin'jing'ying'zhi'liang'guan'li'gui'fan 药品经营质量管理规范
'yao'pin'lin'chuang'shi'yan'guan'li'gui'fan 药品临床试验管理规范
'yao'pin'liu'tong'jian'du'guan'li'ban'fa 药品流通监督管理办法
'yao'pin'sheng'chan'jian'du'guan'li'ban'fa 药品生产监督管理办法
'yao'pin'sheng'chan'zhi'liang'guan'li'gui'fan 药品生产质量管理规范
'yao'pin'zhao'hui'guan'li'ban'fa 药品召回管理办法
'yao'pin'zhu'ce'guan'li'ban'fa 药品注册管理办法
'yao'qiu'chuan'huan'zheng'ren'shen'qing'shu 要求传唤证人申请书
'yao'qiu'qing'pan 要求轻判
'yao'shi'fa'lv'xing'wei 要式法律行为
'yao'shi'min'shi'fa'lv'xing'wei 要式民事法律行为
'yao'yin'min'shi'fa'lv'xing'wei 要因民事法律行为
'yao'yue 要约
'yao'yue'ren 要约人
'yao'yue'wen'jian 要约文件
'yao'yue'yao'qing 要约邀请
'ye'jin'gong'ye'ju 冶金工业局
'ye'quan'wen'jian 业权文件
'ye'sheng'dong'wu'bao'hu'fa 野生动物保护法
'ye'wu'shang'de'ze'ren 业务上的责任
'ye'zhu 业主
'ye'zhu'da'hui'gui'cheng 业主大会规程
'yi'ban'an'quan'zheng'ming'shu 一般安全证明书
'yi'ban'bao'shui'cang 一般保税仓
'yi'ban'bao'shui'qu 一般保税区
'yi'ban'dai'biao 一般代表
'yi'ban'duo'shu 一般多数
'yi'ban'jin'shen'ze'ren 一般谨慎责任
'yi'ban'kuan'mian 一般宽免
'yi'ban'liu'zhi'quan 一般留置权
'yi'ban'shou'quan 一般授权
'yi'ban'shou'quan'shu 一般授权书
'yi'ban'si'fa'guan'xia'quan 一般司法管辖权
'yi'ban'tiao'jian'tiao'kuan 一般条件条款
'yi'ban'yi'chan'guan'li'ren 一般遗产管理人
'yi'ban'zhi'ding'shou'yi'de'quan'li 一般指定受益的权力
'yi'cai'zhong'ju 一裁终局
'yi'chan 遗产
'yi'chan'cheng'ban'chu 遗产承办处
'yi'chan'cheng'ban'ren 遗产承办人
'yi'chan'ji'cheng'ren 遗产继承人
'yi'chan'xiang'you'de'ji'cheng'fen'e 遗产享有的继承份额
'yi'cheng'qing'fang'shi'ti'chu'shang'su 以呈请方式提出上诉
'yi'cong 依从
'yi'dao'qie 一刀切
'yi'deng'ji'gong'hui'lian'he'hui 已登记工会联合会
'yi'deng'ji'suo'you'ren 已登记所有人
'yi'deng'ji'ya'ji 已登记押记
'yi'di'zi'jin'hui'hua 异地资金汇划
'yi'ding'sun'hai'pei'chang'jin 议定损害赔偿金
'yi'fa 依法
'yi'fa'cha'chu 依法查处
'yi'fa'chu'li 依法处理
'yi'fa'lv'wei'zhun'sheng 以法律为准绳
'yi'fa'yan'li'da'ji'fan'zui 依法严厉打击犯罪
'yi'fang'dang'shi'ren 一方当事人
'yi'fu'de 已付的
'yi'fu'mu 谊父母
'yi'fu'qi'ming'yi'tong'ju'sheng'huo 以夫妻名义同居生活
'yi'fu'yi'qi'zhi 一夫一妻制
'yi'guo'shi'de'tiao'li 已过时的条例
'yi'ji'bu 一机部
'yi'ji'shi'chang 一级市场
'yi'ji'zhong'cai 一级仲裁
'yi'jia 溢价
'yi'jia'gu 溢价股
'yi'jian 意见
'yi'jiao'na 已缴纳
'yi'jiao'zu'gu'kuan'de'gu'fen 已缴足股款的股份
'yi'jie'cheng'nian 已届成年
'yi'jie'cheng'nian'bing'ju'xing'wei'neng'li 已结成年并具行为能力
'yi'jin'xing'bu'fen'ling'xun 已进行部分聆讯
'yi'jing'xun'gong'su'cheng'xu'ding'zui 一经循公诉程序定罪
'yi'ju 依据
'yi'ju'fu'hui'piao'de'can'jia'cheng'dui 已拒付汇票的参加承兑
'yi'liao'bao'xian 医疗保险
'yi'liao'fei 医疗费
'yi'liao'fei'wu'guan'li'tiao'li 医疗废物管理条例
'yi'liao'guang'gao'guan'li'ban'fa 医疗广告管理办法
'yi'liao'qi'xie'jian'du'guan'li'tiao'li 医疗器械监督管理条例
'yi'liao'qi'xie'lin'chuang'shi'yan'gui'ding 医疗器械临床试验规定
'yi'liao'qi'xie'zhu'ce'guan'li'ban'fa 医疗器械注册管理办法
'yi'liao'shi'gu'chu'li'tiao'li 医疗事故处理条例
'yi'liao'yao'fei 医疗药费
'yi'lv'yu'yi'mo'shou 一律予以没收
'yi'min 移民
'yi'pi'zu'tu'di 已批租土地
'yi'qi'ju'de'xing'shi 以契据的形式
'yi'qi'zui 遗弃罪
'yi'qian'fa'lv'de'xiu'gai'huo'che'xiao 以前法律的修改或撤消
'yi'shang'shi'shi'jun'you'zheng'ju'zheng'ming 以上事实均有证据证明
'yi'shen 一审
'yi'shen'an'jian 一审案件
'yi'shen'fa'yuan 一审法院
'yi'shen'pan'jue'shu 一审判决书
'yi'sheng'xiao'de 已生效的
'yi'shi'he'tong 依式合同
'yi'shi'shi'wei'gen'ju 以事实为根据
'yi'shi'wu 遗失物
'yi'shi'xing'kang'bian'quan 一时性抗辩权
'yi'shu 遗书
'yi'shu'mian'xing'shi 以书面形式
'yi'si'biao'da'yi'zhi 意思表达一致
'yi'si'biao'shi 意思表示
'yi'si'biao'shi'yi'zhi 意思表示一致
'yi'si'lan'fa 伊斯兰法
'yi'si'neng'li 意思能力
'yi'si'zi'zhi'yuan'ze 意思自治原则
'yi'ti'gong'fu'kuan'de'kang'bian 已提供付款的抗辩
'yi'ti'gong'fu'kuan'de'su 已提供付款的诉
'yi'ti'gong'fu'kuan'di'que'su 已提供付款的确诉
'yi'tu 意图
'yi'tu'gai'deng'ji'wei'zhun 以土改登记为准
'yi'wai'bao'xian 意外保险
'yi'wai'shi'jian 意外事件
'yi'wan'shui'huo'pin 已完税货品
'yi'wen'jian'xuan'shi'zuo'zheng'de'ren 以文件宣誓作证的人
'yi'wu 义务
'yi'wu'jiao'yu'fa 义务教育法
'yi'wu'jiao'yu'fa'shi'shi'xi'ze 义务教育法实施细则
'yi'wu'xing'gui'fan 义务性规范
'yi'wu'yi'quan'yuan'ze 一物一权原则
'yi'xiang 意向
'yi'xing'zhuang'ban'pi 异性装扮癖
'yi'yan 遗言
'yi'yao'fei 医药费
'yi'yi 异议
'yi'yi 异义
'yi'yong'dan'bao 仪用担保
'yi'yuan'gan'ran'guan'li'ban'fa 医院感染管理办法
'yi'yuan'zhong'yao'yin'pian'guan'li'gui'fan 医院中药饮片管理规范
'yi'zeng 遗赠
'yi'zeng'fu'yang'xie'yi 遗赠扶养协议
'yi'zeng'fu'yang'xie'yi 遗赠抚养协议
'yi'zeng'ji'cheng 遗赠继承
'yi'zeng'ren 遗赠人
'yi'zeng'shu 遗赠书
'yi'zheng'bi'kuan'xiang 一整笔款项
'yi'zheng'ming'zhai'quan'de'zhai'quan'ren 已证明债权的债权人
'yi'zhi'biao'jue 一致表决
'yi'zhi'cai'jue 一致裁决
'yi'zhi'du'hua'xue'pin'guan'li'tiao'li 易制毒化学品管理条例
'yi'zhi'xing'de 已执行的
'yi'zhu 遗嘱
'yi'zhu'ji'cheng 遗嘱继承
'yi'zhu'xing'zhi'wen'jian 遗嘱性质文件
'yi'zi'nv 谊子女
'yin'cang'cai'wu 隐藏财物
'yin'du 引渡
'yin'du'cheng'xu 引渡程序
'yin'du'fa 引渡法
'yin'du'fa'lv'cheng'xu 引渡法律程序
'yin'du'tiao'yue 引渡条约
'yin'guo'guan'xi 因果关系
'yin'hang 银行
'yin'hang'hui'kuan'di'dan 银行汇款底单
'yin'hang'wang'dian 银行网点
'yin'hang'ye'jian'du'guan'li'fa 银行业监督管理法
'yin'hang'ye'xie'hui'gong'zuo'zhi'yin 银行业协会工作指引
'yin'hang'zong'guan'chu 银行总管处
'yin'hua'shui 印花税
'yin'hui'yin'xiang'zhi'pin 淫秽音像制品
'yin'man 隐瞒
'yin'ming'he'huo 隐名合伙
'yin'ni 隐匿
'yin'shua'pin'cheng'yin'guan'li'gui'ding 印刷品承印管理规定
'yin'shua'pin'guang'gao'guan'li'ban'fa 印刷品广告管理办法
'yin'shua'ye'guan'li'tiao'li 印刷业管理条例
'yin'si'quan 隐私权
'yin'te'wang'fu'wu'ti'gong'zhe 因特网服务提供者
'yin'xiang'zhi'pin'chu'ban'guan'li'ban'fa 音像制品出版管理办法
'yin'xiang'zhi'pin'guan'li'tiao'li 音像制品管理条例
'yin'xiang'zhi'pin'zhi'zuo'guan'li'gui'ding 音像制品制作管理规定
'yin'xiang'zi'liao'guan'li'gui'ding 音像资料管理规定
'yin'xing'shi'ye 隐性失业
'yin'zhang 印章
'ying'dai'kuan 硬贷款
'ying'dang 应当
'ying'dang'xuan'bu'wu'xiao 应当宣布无效
'ying'gai'cai'na 应该采纳
'ying'ji'li'fa 英吉利法
'ying'li'neng'li 赢利能力
'ying'mei'fa'xi 英美法系
'ying'ren'er'jie 迎刃而解
'ying'shou'wei'shou'li'xi 应收未收利息
'ying'su 应诉
'ying'su'tong'zhi'shu 应诉通知书
'ying'ye'shui 营业税
'ying'ye'shui'tiao'li 营业税条例
'ying'ye'shui'zan'xing'tiao'li 营业税暂行条例
'ying'ye'xing'yan'chu'guan'li'tiao'li 营业性演出管理条例
'ying'ye'zhi'zhao 营业执照
'ying'yu'gong'ji'jin 盈余公积金
'ying'yu'wei'chi 应予维持
'ying'zhi'fu'de 应支付的
'yong'ci 用词
'yong'di'shen'pi 用地审批
'yong'dian'quan 永佃权
'yong'jin 佣金
'yong'jiu'xing'kang'bian'quan 永久性抗辩权
'yong'jiu'zu'jie 永久租借
'yong'lei'tui'de'fang'shi 用类推的方式
'yong'yi'wu'quan 用益物权
'you'ai'gong'zheng 有碍公正
'you'chan'yu'wu'chan 有产与无产
'you'chang'min'shi'fa'lv'xing'wei 有偿民事法律行为
'you'di'gui'ze 邮递规则
'you'di'ya'quan'zheng 有抵押权证
'you'fa'bi'yi 有法必依
'you'fa'ke'yi 有法可依
'you'fa'lv'dai'biao 有法律代表
'you'fa'xin'yi'lun'jing'ji'kuo'zhang 诱发新一轮经济扩张
'you'gong 诱供
'you'guan'bu'men 有关部门
'you'hao'tiao'jie'ren 友好调解人
'you'hui'dai'kuan 优惠贷款
'you'ji'chan'pin'ren'zheng'shi'shi'gui'ze 有机产品认证实施规则
'you'jia'wu 有价物
'you'jia'zheng'quan 有价证券
'you'ju'de 有据的
'you'liang'zhong'chu'deng'ji'gui'ze 优良种畜登记规则
'you'qi'tu'xing 有期徒刑
'you'qi'tu'xing'huan'xing 有期徒刑缓刑
'you'quan'dai'li 有权代理
'you'quan'qing'qiu'pei'chang 有权请求赔偿
'you'que'xian'de'lv'xing 有缺陷的履行
'you'se'jin'shu'gong'ye'ju 有色金属工业局
'you'se'jin'shu'zong'gong'si 有色金属总公司
'you'shi'chang'de'chan'pin 有市场的产品
'you'tiao'jian'de'zeng'yu 有条件的赠与
'you'tiao'jian'xie'yi 有条件协议
'you'ting'an'quan'guan'li'gui'ding 游艇安全管理规定
'you'xian'dian'shi'guan'li'zan'xing'ban'fa 有线电视管理暂行办法
'you'xian'fa'lv'ze'ren'de'gong'si 有限法律责任的公司
'you'xian'gong'si 有限公司
'you'xian'gu 优先股
'you'xian'he'huo 有限合伙
'you'xian'quan 优先权
'you'xian'quan'ri 优先权日
'you'xian'quan'yuan'ze 优先权原则
'you'xian'ze'ren 有限责任
'you'xian'ze'ren'gong'si 有限责任公司
'you'xian'ze'ren'gong'si'gui'fan'yi'jian 有限责任公司规范意见
'you'xian'zhi'shou'yu'de'tu'di 有限制授予的土地
'you'xiao 有效
'you'xiao'de 有效的
'you'xiao'gong'ji 有效供给
'you'xing'cai'chan 有形财产
'you'xing'sun'shi 有形损失
'you'xing'zi'chan'jing'zhi 有形资产净值
'you'xing'zi'chan'tou'zi 有形资产投资
'you'yong'you 由拥有
'you'zheng'fa 邮政法
'you'zheng'fa'shi'shi'xi'ze 邮政法实施细则
'you'zheng'ju 邮政局
'you'zi 游资
'you'zui 有罪
'you'zui'pan'jue 有罪判决
'yu'bei'wen'jian 预备文件
'yu'bei'yi'jun'guan'fa 预备役军官法
'yu'fa'bu'tong 与法不同
'yu'fa'you'ju 于法有据
'yu'fang'wei'cheng'nian'ren'fan'zui'fa 预防未成年人犯罪法
'yu'fu'kuan 预付款
'yu'guo'ji'guan'li'jie'gui 与国际惯例接轨
'yu'guo'ji'shi'chang'jie'gui 与国际市场接轨
'yu'le'chang'suo'guan'li'tiao'li 娱乐场所管理条例
'yu'li'yu'fa'bu'he 于理于法不合
'yu'qi'dai'kuan 逾期贷款
'yu'qi'shang'su'xu'ke 逾期上诉许可
'yu'shen 预审
'yu'shen 予审
'yu'shen'jie'duan 预审阶段
'yu'song'yi'fang 与讼一方
'yu'suan'ji'ci 预算级次
'yu'suan'wai'shou'ru 预算外收入
'yu'suan'wai'zhi'chu 预算外支出
'yu'tiao 预调
'yu'xian'gu'ji 预先估计
'yu'yan'wen'zi'gong'zuo'wei'yuan'hui 语言文字工作委员会
'yu'ye'chuan'bo'jian'yan'tiao'li 渔业船舶检验条例
'yu'ye'fa 渔业法
'yu'ye'fa'shi'shi'xi'ze 渔业法实施细则
'yu'yi'qi'su 予以起诉
'yu'yi'xing'zheng'chu'fa 予以行政处罚
'yuan'ben'de'fen'zu'ren 原本的分租人
'yuan'ben'de'fen'zu'zu'qi 原本的分租租契
'yuan'gao 原告
'yuan'gao'jiu'bei'gao'de'yuan'ze 原告就被告的原则
'yuan'gao'ren 原告人
'yuan'pan 原判
'yuan'pan'jue 原判决
'yuan'qi'piao'ju 远期票据
'yuan'quan 原权
'yuan'shen 原审
'yuan'shen'pan'jue 原审判决
'yuan'su'fa'lv'cheng'xu'wen'jian 原诉法律程序文件
'yuan'su'wen'jian 原诉文件
'yuan'wu 原物
'yuan'yang'tuo'dai'he'tong 远洋拖带合同
'yuan'yang'yu'ye'guan'li'gui'ding 远洋渔业管理规定
'yuan'you'shi'chang'guan'li'ban'fa 原油市场管理办法
'yuan'zhang 院长
'yue'ding'de 约定的
'yue'ding'guan'xia 约定管辖
'yue'ding'wei'yue'jin 约定违约金
'yue'huan'bi 月环比
'yue'quan'xing'wei 越权行为
'yun'nuo 允诺
'yun'shu'du'pin'zui 运输毒品罪
'yun'song'ta'ren'tou'yue'bian'jing'zui 运送他人偷越边境罪
'yun'xu 允许
'yun'xu'shu 允许书
'za'lan 砸烂
'zai'bao'xian'ye'wu'guan'li'gui'ding 再保险业务管理规定
'zai'dai'kuan 再贷款
'zai'dai'li'ren 再代理人
'zai'guo'cheng'zhong 在过程中
'zai'he'tong'lv'xing'zhong 在合同履行中
'zai'jian'gong'cheng 在建工程
'zai'juan'wei'ping 在卷为凭
'zai'liao'xiang'zhi'zhong 在料想之中
'zai'nei'ting'kai'ting 在内庭开庭
'zai'qi'jian 在期间
'zai'ren'xing'cun'kuan 在人行存款
'zai'shang'su 再上诉
'zai'shen 再审
'zai'shen'an 再审案
'zai'shen'an'jian 再审案件
'zai'shen'fa'yuan 再审法院
'zai'shen'pan'jue'shu 再审判决书
'zai'shen'shen'qing'shu 再审申请书
'zai'ti 载体
'zai'ti'jiao'da'bian'zhuang'qi'jian 在提交答辩状期间
'zai'tie'xian 再贴现
'zai'tu'zi'jin 在途资金
'zai'wai'di 在外地
'zai'yu'liao'zhi'zhong 在预料之中
'zai'zhui'suo'ren 再追索人
'zan'shi'kou'ya'ling'zhuang 暂时扣押令状
'zan'shi'ming'ling 暂时命令
'zan'shi'xing 暂时性
'zan'shi'xing'shan'yang'fei'ling 暂时性赡养费令
'zan'shi'zhong'zhi 暂时中止
'zan'xing'gui'ding 暂行规定
'zan'xing'tiao'li 暂行条例
'zan'zhun'jin'kou'gong'yue 暂准进口公约
'zao'hun 早婚
'zao'qi'gong'kai'shen'cha'zhi'du 早期公开审查制度
'zao'qi'yan'chi'shen'cha'zhi'du 早期延迟审查制度
'zao'shi 早市
'zao'zhi'chan'ye'fa'zhan'zheng'ce 造纸产业发展政策
'ze'ling 责令
'ze'ling'ju'jie'hui'guo 责令具结悔过
'ze'ling'pei'chang 责令赔偿
'ze'ren 责任
'ze'ren'gan 责任感
'ze'ren'jie'chu'wen'jian 责任解除文件
'zeng'fa'gu'piao 增发股票
'zeng'jia'nong'ye'tou'ru 增加农业投入
'zeng'shi'jian'huan 增势减缓
'zeng'shou'jie'zhi'cuo'shi 增收节支措施
'zeng'zhang'ping'wen 增长平稳
'zeng'zhi'shui 增值税
'zeng'zhi'shui'zan'xing'tiao'li 增值税暂行条例
'zha'pian'zui 诈骗罪
'zhai'de'dan'bao 债的担保
'zhai'de'fen'lei 债的分类
'zhai'de'lv'xing 债的履行
'zhai'ji'di 宅基地
'zhai'quan 债券
'zhai'quan 债权
'zhai'quan'ren 债权人
'zhai'quan'ren'hui'yi 债权人会议
'zhai'wu 债务
'zhai'wu'de'chang'huan 债务的偿还
'zhai'wu'de'chang'qing 债务的偿清
'zhai'wu'de'dan'bao 债务的担保
'zhai'wu'de'he'bing 债务的合并
'zhai'wu'de'ji'fu'ri'qi 债务的给付日期
'zhai'wu'de'mian'chu 债务的免除
'zhai'wu'ren 债务人
'zhan'hui'zhi'shi'chan'quan'bao'hu'ban'fa 展会知识产权保护办法
'zhan'you'quan 占有权
'zhan'zhu 占住
'zhang'cheng 章程
'zhang'fu'pian'gao 涨幅偏高
'zhang'wai'zhang 账外账
'zhao'biao'tou'biao'fa 招标投标法
'zhao'gu'zhang'cheng 招股章程
'zhao'ren 招认
'zhao'shang'yin'hang 招商银行
'zhao'yao'zhuang'pian'zui 招摇撞骗罪
'zhe'jia 折价
'zhe'jia'gu 折价股
'zhe'jiu 折旧
'zhe'kou 折扣
'zhen'cao'quan 贞操权
'zhen'cha 侦查
'zhen'cha'jie'duan 侦查阶段
'zhen'cha'zhong'jie 侦查终结
'zhen'cheng'de 真诚的
'zhen'ji'ren'yuan 侦缉人员
'zhen'shi'de 真实的
'zhen'xi'qin'shu 真系亲属
'zheng'bi'fu'kuan 整笔付款
'zheng'ce'gong'ju 政策工具
'zheng'ce'xing'dai'kuan 政策性贷款
'zheng'ce'xing'kui'sun 政策性亏损
'zheng'ce'xing'ye'wu 政策性业务
'zheng'ce'xing'yin'hang 政策性银行
'zheng'ce'zu'he 政策组合
'zheng'chao 争吵
'zheng'dang'fang'wei 正当防卫
'zheng'dun 整顿
'zheng'fa'wei 政法委
'zheng'fa'wei'yuan'hui 政法委员会
'zheng'fu'cai'gou'fa 政府采购法
'zheng'fu'gan'yu 政府干预
'zheng'fu'ji'guan 政府机关
'zheng'fu'tu'di 政府土地
'zheng'fu'xin'xi'gong'kai'tiao'li 政府信息公开条例
'zheng'ju 证据
'zheng'ju'bao'quan 证据保全
'zheng'ju'bao'quan'shen'qing'shu 证据保全申请书
'zheng'ju'lai'yuan 证据来源
'zheng'ju'zhong'lei 证据种类
'zheng'lun'dian 争论点
'zheng'ming'fang'fa 证明方法
'zheng'ming'wen'jian 证明文件
'zheng'pi 整批
'zheng'qi'bu'fen 政企不分
'zheng'quan 证券
'zheng'quan'cheng'xiao'shang 证券承销商
'zheng'quan'fa 证券法
'zheng'quan'fa'xing 证券发行
'zheng'quan'gong'si 证券公司
'zheng'quan'gong'si'feng'xian'chu'zhi'tiao'li 证券公司风险处置条例
'zheng'quan'gong'si'jian'du'guan'li'tiao'li 证券公司监督管理条例
'zheng'quan'gong'si'zhi'li'zhun'ze 证券公司治理准则
'zheng'quan'jian'du'wei'yuan'hui 证券监督委员会
'zheng'quan'jiao'yi'qing'suan 证券交易清算
'zheng'quan'jiao'yi'suo 证券交易所
'zheng'quan'jing'ji'ren 证券经纪人
'zheng'quan'lv'shi 证券律师
'zheng'quan'shang 证券商
'zheng'quan'shang'shi 证券上市
'zheng'quan'shi'chang'jin'ru'gui'ding 证券市场禁入规定
'zheng'quan'tou'zi 证券投资
'zheng'quan'tou'zi'ji'jin'fa 证券投资基金法
'zheng'quan'wei'yuan'hui 证券委员会
'zheng'quan'ye'wu'zhan'kuan 证券业务占款
'zheng'quan'ye'xie'hui 证券业协会
'zheng'que 正确
'zheng'ren 证人
'zheng'ren'shen'qing'shu 证人申请书
'zheng'ren'zheng'yan 证人证言
'zheng'shu 证书
'zheng'ti 政体
'zheng'wu'yuan 政务院
'zheng'wu'yuan'cai'jing'wei'yuan'hui 政务院财经委员会
'zheng'wu'yuan'mi'shu'ting 政务院秘书厅
'zheng'xie'ke'jiao'wen'wei'ti'wei'yuan'hui 政协科教文卫体委员会
'zheng'xun'bei'gao'zui'hou'yi'jian 征询被告最后意见
'zheng'xun'yuan'gao'zui'hou'yi'jian 征询原告最后意见
'zheng'yan 证言
'zheng'yi 争议
'zheng'yi'an'jian 争议案件
'zheng'yi'shu'e 争议数额
'zheng'yong 征用
'zheng'zhi 争执
'zheng'zhi'quan'li'he'zi'you 政治权力和自由
'zheng'zhi'xie'shang'hui'yi'zhang'cheng 政治协商会议章程
'zhi'an'cheng'zhi'chu'fen 治安惩治处分
'zhi'an'chu'fa 治安处罚
'zhi'an'chu'fa'shen'su'cai'jue'shu 治安处罚申诉裁决书
'zhi'an'chu'li 治安处理
'zhi'an'guan'li'chu'fa'fa 治安管理处罚法
'zhi'an'guan'li'chu'fa'tiao'li 治安管理处罚条例
'zhi'an'jing'gao 治安警告
'zhi'an'lian'fang'dui'yuan 治安联防队员
'zhi'an'xing'zheng'cai'jue 治安行政裁决
'zhi'an'xing'zheng'chu'fa 治安行政处罚
'zhi'cai 制裁
'zhi'can'ren'xie'hui 肢残人协会
'zhi'cheng'xiao'xin 至诚孝心
'zhi'chi 支持
'zhi'chi'ling'xun 支持聆讯
'zhi'chi'wen'jian 支持文件
'zhi'dao'xing'ji'hua 指导性计划
'zhi'ding 制定
'zhi'ding'bian'hu 指定辩护
'zhi'ding'dai'li'ren 指定代理人
'zhi'ding'fa 制定法
'zhi'ding'he'shi'shi'huo'bi'zheng'ce 制定和实施货币政策
'zhi'ding'jian'hu'ren 指定监护人
'zhi'ding'ren'yuan 指定人员
