'an'fa'piao'huo'ling'fen'xi 按发票货龄分析
'lai'liao'jian'yan'dan'lie'biao 来料检验单列表
'lai'liao'jian'yan'dan'pi'liang'ru'ku 来料检验单批量入库
'lai'liao'jian'yan'tong'ji'fen'xi'biao 来料检验统计分析表
'lai'liao'jian'yan'zhi'liang'tai'zhang 来料检验质量台帐
'lai'liao'zhi'biao'jian'yan'tong'ji'biao 来料指标检验统计表
'lan'zi'hui'chong'dan'lie'biao 蓝字回冲单列表
'lan'zi'jia'gong'fei'fa'piao 蓝字加工费发票
'lei'bie'gou'cheng'fen'xi'biao 类别构成分析表
'lei'bie'tiao'zheng 类别调整
'lei'ji'ti'qian'qi 累计提前期
'lei'ji'ti'qian'tian'shu'tui'suan 累计提前天数推算
'lei'ji'zhe'jiu'tiao'zheng 累计折旧调整
'leng'cang'qu 冷藏区
'leng'dong'qu 冷冻区
'li'jia'ri 例假日
'li'san 离散
'li'san'xing'sheng'chan 离散型生产
'li'ti'cang'ku 立体仓库
'li'wai'guan'li'fa 例外管理法
'li'wai'kong'zhi 例外控制
'lian'chan'pin'fen'pei'lv 联产品分配率
'lian'fu'chan'pin'xiao'shou'lu'ru'biao 联副产品销售录入表
'lian'he'ti'cheng'ben'ming'xi'biao 联合体成本明细表
'lian'he'yun'shu 联合运输
'lian'xu'bu'chong'xi'shu 连续补充系数
'lian'xu'liu'cheng 连续流程
'liang'cha 量差
'liao'peng 料棚
'ling'dao'cheng'nuo 领导承诺
'ling'deng'dai 零等待
'ling'deng'dai'guo'cheng 零等待过程
'ling'deng'dai'qi'ye 零等待企业
'ling'ji'yu'suan 零基预算
'ling'jian 零件
'ling'jian'bian'hao 零件编号
'ling'jian'pi'ci 零件批次
'ling'jian'qing'dan 零件清单
'ling'ku'cun 零库存
'ling'ku'cun'ji'shu 零库存技术
'ling'liao'shen'qing 领料申请
'ling'liao'shen'qing'dan 领料申请单
'ling'liao'shen'qing'dan'lie'biao 领料申请单列表
'liu'cheng'zhi'zao 流程制造
'liu'dong'fu'zhai 流动负债
'liu'dong'zi'chan 流动资产
'liu'ge'biao'zhun'cha 六个标准差
'liu'shui'che'jian 流水车间
'liu'shui'zhang 流水账
'liu'tong'jia'gong 流通加工
'liu'yang 留样
'liu'yang'dan 留样单
'liu'yang'dan'lie'biao 留样单列表
'lu'ru'yuan'shi'ka'pian 录入原始卡片
'lv'se'wu'liu 绿色物流
'lv'xing'gen'zong'she'zhi 履行跟踪设置
'mao'xu'qiu 毛需求
'mao'xu'qiu'liang 毛需求量
'mei'guo'sheng'chan'yu'ku'cun'guan'li'xie'hui 美国生产与库存管理协会
'men'dao'men 门到门
'mian'xiang'ke'hu'zhi'zao'guan'li'xi'tong 面向客户制造管理系统
'min'jie'zhi'zao 敏捷制造
'ming'xi 明细
'ming'xi'biao 明细表
'ming'xi'zhang 明细账
'mo'kuai'hua'wu'liao'qing'dan 模块化物料清单
'mo'ni'cheng'ben 模拟成本
'mu'jian 母件
'mu'jian'jie'gou'biao'dan'jie 母件结构表单阶
'mu'jian'jie'gou'biao'duo'jie 母件结构表多阶
'mu'jian'jie'gou'biao'hui'zong'shi 母件结构表汇总式
'mu'jian'jie'gou'cha'xun'duo'jie 母件结构查询多阶
'mu'lu 目录
'nei'bu'xiao'shou 内部销售
'neng'li'cheng'shu'du'mo'xing 能力成熟度模型
'neng'li'fu'he 能力负荷
'neng'li'guan'li 能力管理
'neng'li'li'yong'shui'ping 能力利用水平
'neng'li'xu'qiu'ji'hua 能力需求计划
'nian'mo 年末
'pa'la'tu'yuan'li 帕拉图原理
'pai'dui'shi'jian 排队时间
'pai'gong 派工
'pan'dian'dan 盘点单
'pan'dian'dan'lie'biao 盘点单列表
'pan'dian'ye'wu 盘点业务
'pan'dian'ying'kui'que'ren 盘点盈亏确认
'pan'ying'pan'kui'bao'gao'biao 盘盈盘亏报告表
'pei'e'sheng'dan 配额生单
'pei'song 配送
'pei'song'zhong'xin 配送中心
'pei'tao'jian'xiang'mu 配套件项目
'pei'zhi'dai'ma 配置代码
'pi'ci 批次
'pi'ci'cun'huo'hui'zong'biao 批次存货汇总表
'pi'ci'dong'jie 批次冻结
'pi'ci'tai'zhang 批次台账
'pi'hao 批号
'pi'hao'gen'zong 批号跟踪
'pi'hao'guan'li 批号管理
'pi'liang 批量
'pi'liang'bian'dong 批量变动
'pi'liang'bian'hao 批量编号
'pi'liang'biao'zhi 批量标识
'pi'liang'chuan'chu 批量传出
'pi'liang'ding'jia'mo'xing 批量定价模型
'pi'liang'gui'hua 批量规划
'pi'liang'ku'cun 批量库存
'pi'liang'qian'hui 批量签回
'pi'liang'sheng'chan 批量生产
'pi'liang'zhe'kou 批量折扣
'pi'liang'zhi'dan 批量制单
'pi'liu'cheng 批流程
'pi'zhun'zhe 批准者
'pian'zhi'tian'shu 偏置天数
'piao'ju'guan'li 票据管理
'piao'ju'lie'biao 票据列表
'piao'ju'lu'ru 票据录入
'pin'zhuang'huo 拼装货
'ping'gu'bian'dong'biao 评估变动表
'ping'gu'hui'zong'biao 评估汇总表
'ping'heng 平衡
'ping'jing'zi'yuan 瓶颈资源
'ping'jun'dan'jia'ji'suan 平均单价计算
'ping'jun'ku'cun 平均库存
'ping'zheng 凭证
'ping'zheng'cha'xun 凭证查询
'ping'zheng'chu'li 凭证处理
'ping'zheng'da'yin 凭证打印
'ping'zheng'zhai'yao'she'zhi 凭证摘要设置
'pu'tong'cai'gou'fa'piao 普通采购发票
'qi'chu 期初
'qi'chu'bu'he'ge'pin 期初不合格品
'qi'chu'cha'yi 期初差异
'qi'chu'die'jia'zhun'bei 期初跌价准备
'qi'chu'fa'huo'dan 期初发货单
'qi'chu'fen'qi'shou'kuan'fa'chu'shang'pin 期初分期收款发出商品
'qi'chu'he'tong 期初合同
'qi'chu'he'tong'bian'geng'dan'lie'biao 期初合同变更单列表
'qi'chu'jie'cun 期初结存
'qi'chu'jie'suan'dan 期初结算单
'qi'chu'lu'ru 期初录入
'qi'chu'wei'tuo'dai'xiao'fa'chu'shang'pin 期初委托代销发出商品
'qi'chu'yu'e 期初余额
'qi'chu'yu'e'tiao'zheng 期初余额调整
'qi'chu'zai'chan'diao'bo'biao 期初在产调拨表
'qi'chu'zai'chan'tiao'zheng'ming'xi'biao 期初在产调整明细表
'qi'chu'zan'gu'ke'mu'lu'ru 期初暂估科目录入
'qi'chu'zhi'xing'dan 期初执行单
'qi'jian 期间
'qi'jian'sun'yi 期间损益
'qi'mo 期末
'qi'mo'chu'li 期末处理
'qi'mo'ke'gong'liang 期末可供量
'qi'mo'yu'e 期末余额
'qi'shi'ri'qi 起始日期
'qi'ta'bao'jian'dan 其他报检单
'qi'ta'bao'jian'dan'lie'biao 其他报检单列表
'qi'ta'bu'liang'pin'chu'li'dan 其他不良品处理单
'qi'ta'bu'liang'pin'chu'li'dan'lie'biao 其他不良品处理单列表
'qi'ta'chu'ku 其他出库
'qi'ta'chu'ku'dan 其他出库单
'qi'ta'chu'ku'dan'lie'biao 其他出库单列表
'qi'ta'chu'li 其他处理
'qi'ta'fei'yong'biao 其他费用表
'qi'ta'jian'yan 其他检验
'qi'ta'jian'yan'bu'liang'yuan'yin'fen'xi'biao 其他检验不良原因分析表
'qi'ta'jian'yan'dan 其他检验单
'qi'ta'jian'yan'dan'lie'biao 其他检验单列表
'qi'ta'jian'yan'tong'ji'fen'xi'biao 其他检验统计分析表
'qi'ta'jian'yan'tong'ji'fen'xi'biao'wu'fen 其他检验统计分析表无分
'qi'ta'ke'mu 其他科目
'qi'ta'ru'ku 其他入库
'qi'ta'ru'ku'dan 其他入库单
'qi'ta'ru'ku'dan'lie'biao 其他入库单列表
'qi'ta'ye'wu'chu'li 其他业务处理
'qi'ta'ying'shou'kuan 其他应收款
'qi'ta'zhi'biao'jian'yan'tong'ji'biao 其他指标检验统计表
'qi'tao'sheng'cheng'qing'gou'dan 齐套生成请购单
'qi'tao'sheng'dan 齐套生单
'qi'ye'ji'xiao'fen'xi 企业绩效分析
'qi'ye'shang'wu'guan'li 企业商务管理
'qi'ye'wu'liu 企业物流
'qi'ye'xin'xi'men'hu 企业信息门户
'qi'ye'ying'yong'ji'cheng 企业应用集成
'qi'ye'zi'yuan'guan'li 企业资源管理
'qi'ye'zi'yuan'ji'hua 企业资源计划
'qian'jian'ku'cun'chu'li'fa 前减库存处理法
'qian'jiao'shu'liang 欠交数量
'qian'kuan'fen'xi 欠款分析
'qin'ru'xing'ji'cheng 侵入性集成
'qing'gou 请购
'qing'gou'dan 请购单
'qing'gou'dan'lie'biao 请购单列表
'qing'gou'dan'zhi'xing'tong'ji'biao 请购单执行统计表
'qing'gou'zhi'xing'jin'du'biao 请购执行进度表
'qing'jing'ling'dao 情境领导
'qu'xiao'cao'zuo 取消操作
'qu'xiao'yue'jie 取消月结
'quan'gen'zong 全跟踪
'quan'mian'qi'ye'ji'cheng 全面企业集成
'quan'mian'zhi'liang'guan'li 全面质量管理
'quan'mian'zhi'liang'kong'zhi 全面质量控制
'quan'qiu'yun'chou'guan'li 全球运筹管理
'quan'yuan'can'zhi 全员参治
'quan'yuan'sheng'chan'li'wei'hu 全员生产力维护
'quan'zhong'pai'fa 全重排法
'que'liao'biao 缺料表
'que'ren'de'ji'hua'ding'dan 确认的计划订单
'que'ren'ji'hua'xu'qiu'shi'jie 确认计划需求时界
'ren'gong'fei'yong'biao 人工费用表
'ren'gong'gong'shi 人工工时
'ren'li'zi'yuan'guan'li 人力资源管理
'ren'li'zi'yuan'ji'hua 人力资源计划
'ren'wu'e'bao'jia 任务额报价
'ri'bao'biao 日报表
'ri'chang'lu'ru'dao'hang 日常录入导航
'ri'ji'zhang 日记账
'ri'jun'hao'liang'yu'zai'ding'huo'dian'wei'hu 日均耗量与再订货点维护
'rou'xing'zhi'zao'xi'tong 柔性制造系统
'ru'ku'chan'pin'cheng'ben'hui'zong'biao 入库产品成本汇总表
'ru'ku'chan'pin'cheng'ben'ming'xi'biao 入库产品成本明细表
'ru'ku'cheng'ben'fen'xi 入库成本分析
'ru'ku'dan 入库单
'ru'ku'dan'he'bing'kai'piao 入库单合并开票
'ru'ku'dan'lie'biao 入库单列表
'ru'ku'dan'pi'liang'sheng'cheng'fa'piao 入库单批量生成发票
'ru'ku'gen'zong'biao 入库跟踪表
'ru'ku'hui'zong'biao 入库汇总表
'ru'ku'ming'xi'biao 入库明细表
'ru'ku'tiao'zheng'dan 入库调整单
'ru'ku'tiao'zheng'dan'lie'biao 入库调整单列表
'san'zhuang 散装
'shang'gun 上滚
'shang'pin'zhou'zhuan'lv'fen'xi 商品周转率分析
'shang'ye'zhi'neng'xi'tong 商业智能系统
'she'bei'fen'pei 设备分配
'she'bei'guan'li 设备管理
'she'ji'shen'qing'lie'biao 设计申请列表
'she'ji'wu'liao'qing'dan 设计物料清单
'she'ru'jin'e 舍入金额
'she'zhi 设置
'shen'he'ping'zheng 审核凭证
'shen'qing'dan'lie'biao 申请单列表
'sheng'chan'bu'men'zhi'liang'ji'xiao'fen'xi'biao 生产部门质量绩效分析表
'sheng'chan'cai'liao'ling'yong'he'dui 生产材料领用核对
'sheng'chan'ding'dan 生产订单
'sheng'chan'ding'dan'bian'geng'ji'lu'ming'xi'biao 生产订单变更记录明细表
'sheng'chan'ding'dan'bian'geng'ji'lu'qing'chu 生产订单变更记录清除
'sheng'chan'ding'dan'chu'li 生产订单处理
'sheng'chan'ding'dan'gai'zhi 生产订单改制
'sheng'chan'ding'dan'gai'zhi'nuo'liao'lie'biao 生产订单改制挪料列表
'sheng'chan'ding'dan'gong'xu'ji'hua'sheng'cheng 生产订单工序计划生成
'sheng'chan'ding'dan'gong'xu'ling'liao'dan'chong'fu 生产订单工序领料单重复
'sheng'chan'ding'dan'gong'xu'ling'liao'dan'sheng'chan 生产订单工序领料单生产
'sheng'chan'ding'dan'gong'xu'pai'gong'dan 生产订单工序派工单
'sheng'chan'ding'dan'gong'xu'pai'gong'ming'xi'biao 生产订单工序派工明细表
'sheng'chan'ding'dan'gong'xu'zi'liao'wei'hu 生产订单工序资料维护
'sheng'chan'ding'dan'kai'gong'cha'xun'ri'bao 生产订单开工查询日报
'sheng'chan'ding'dan'kai'gong'cha'xun'yue'bao 生产订单开工查询月报
'sheng'chan'ding'dan'kai'gong'cha'xun'zhou'bao 生产订单开工查询周报
'sheng'chan'ding'dan'lei'bie 生产订单类别
'sheng'chan'ding'dan'lie'biao 生产订单列表
'sheng'chan'ding'dan'ling'liao'dan'chong'fu'ji'hua 生产订单领料单重复计划
'sheng'chan'ding'dan'ling'liao'dan'sheng'chan'ding'dan 生产订单领料单生产订单
'sheng'chan'ding'dan'ming'xi'biao 生产订单明细表
'sheng'chan'ding'dan'nuo'liao 生产订单挪料
'sheng'chan'ding'dan'pi'liang'diao'bo 生产订单批量调拨
'sheng'chan'ding'dan'pi'liang'fa'tui'liao 生产订单批量发退料
'sheng'chan'ding'dan'pi'liang'ling'liao 生产订单批量领料
'sheng'chan'ding'dan'pi'liang'ru'ku 生产订单批量入库
'sheng'chan'ding'dan'que'liao'ming'xi'biao 生产订单缺料明细表
'sheng'chan'ding'dan'shu'ru 生产订单输入
'sheng'chan'ding'dan'tong'zhi'dan 生产订单通知单
'sheng'chan'ding'dan'wan'gong'zhuang'kuang'biao 生产订单完工状况表
'sheng'chan'ding'dan'wei'hu 生产订单维护
'sheng'chan'ding'dan'yong'liao'fen'xi'biao'sheng'chan 生产订单用料分析表生产
'sheng'chan'ding'dan'yu'jing'yu'bao'jing'zi'liao'biao 生产订单预警与报警资料表
'sheng'chan'ding'dan'yu'liu'zhuang'kuang 生产订单预留状况
'sheng'chan'ding'dan'yu'wu'liao'qing'dan'cha'yi'fen 生产订单与物料清单差异分
'sheng'chan'ding'dan'zai'zhi'wu'liao'fen'xi'biao 生产订单在制物料分析表
'sheng'chan'ding'dan'zhi'liang'fen'xi'biao 生产订单质量分析表
'sheng'chan'ding'dan'zhi'xing'qing'kuang'ri'bao 生产订单执行情况日报
'sheng'chan'ding'dan'zhi'xing'qing'kuang'yue'bao 生产订单执行情况月报
'sheng'chan'ding'dan'zhi'xing'qing'kuang'zhou'bao 生产订单执行情况周报
'sheng'chan'ding'dan'zi'dong'sheng'cheng 生产订单自动生成
'sheng'chan'ding'dan'zong'he'cha'xun 生产订单综合查询
'sheng'chan'he'jue'ce'guan'li'xin'xi'xi'tong 生产和决策管理信息系统
'sheng'chan'jian'yan 生产检验
'sheng'chan'qi'liao'zhan'wang'fen'xi 生产齐料展望分析
'sheng'chan'ri'qi 生产日期
'sheng'chan'ru'ku 生产入库
'sheng'chan'su'lv'shui'ping 生产速率水平
'sheng'chan'wan'gong'ru'ku'he'dui 生产完工入库核对
'sheng'chan'wan'ji'ri'bao'biao 生产完计日报表
'sheng'chan'wu'liu 生产物流
'sheng'chan'yong'liao'yu'liu 生产用料预留
'sheng'chan'yu'ku'cun'guan'li'ren'zheng'zi'ge 生产与库存管理认证资格
'sheng'chan'zhou'qi 生产周期
'sheng'chan'zuo'ye'kong'zhi 生产作业控制
'sheng'cheng'dan'wei'ji'hua'cheng'ben 生成单位计划成本
'sheng'cheng'ji'hua'cheng'ben 生成计划成本
'sheng'cheng'jian'yan'dan 生成检验单
'sheng'cheng'ping'zheng 生成凭证
'sheng'xiao'ri'qi 生效日期
'shi'chang'fen'xi 市场分析
'shi'ji'cheng'ben 实际成本
'shi'ji'ku'cun 实际库存
'shi'ji'neng'li 实际能力
'shi'jie 时界
'shi'qu 时区
'shi'shi 实施
'shi'wu'chu'li 事务处理
'shi'xiao'ri'qi'bao'fei'ri'qi 失效日期报废日期
'shi'yong'dian 使用点
'shi'yong'nian'xian'tiao'zheng 使用年限调整
'shi'yong'zhi'zao'guan'li'xi'lie'pei'xun'jiao'cai 实用制造管理系列培训教材
'shi'yong'zhuang'kuang 使用状况
'shi'yong'zhuang'kuang'fen'xi'biao 使用状况分析表
'shi'yong'zhuang'kuang'tiao'zheng 使用状况调整
'shou'dao'ri'qi 收到日期
'shou'fa'cun'hui'zong'biao 收发存汇总表
'shou'fu'kuan'dan'cha'xun 收付款单查询
'shou'gong'dui'chong 手工对冲
'shou'gong'he'xiao 手工核销
'shou'gong'jie'suan 手工结算
'shou'gong'tiao'zhang 手工调账
'shou'huo'qu 收货区
'shou'jia'ji'hua'jia'xiao'shou'cheng'ben'jie 售价计划价销售成本结
'shou'kuan'chu'li 收款处理
'shou'kuan'dan'ju 收款单据
'shou'kuan'dan'ju'lu'ru 收款单据录入
'shou'kuan'dan'ju'shen'he 收款单据审核
'shou'kuan'yu'ce 收款预测
'shou'kuan'zhang'ling'fen'xi 收款账龄分析
'shou'quan 授权
'shu'ju'cang'ku 数据仓库
'shu'ju'ceng'ji'cheng 数据层集成
'shu'ju'he'dui 数据核对
'shu'ju'jie'kou'guan'li 数据接口管理
'shu'ju'lu'ru 数据录入
'shu'ju'wa'jue 数据挖掘
'shu'ju'zheng'li 数据整理
'shu'ju'zhi'shi'he'jue'ce'zhi'chi 数据知识和决策支持
'shu'ju'zhuan'huan 数据转换
'shu'kong'zhi'xie'yi 输控制协议
'shuai'gua'yun'shu 甩挂运输
'shui'jin'ke'mu 税金科目
'shui'lv 税率
'shui'ma 税码
'shun'pai'ji'hua 顺排计划
'shuo'ming 说明
'suan'ji'fu'zhu'zhi'liang'bao'zheng 算机辅助质量保证
'sun'hao 损耗
'sun'shi'chu'li 损失处理
'sun'yi 损益
'sun'yi'biao 损益表
'suo'pai'shi'wu'liao'qing'dan 缩排式物料清单
'suo'you'zhe'quan'yi 所有者权益
'te'shu'dan'ju'ji'zhang 特殊单据记账
'ti'dai'guan'xi 替代关系
'ti'huan'liao'chu'li'gong'xu'zi'liao'biao 替换料处理供需资料表
'ti'huan'ling'jian 替换零件
'ti'huo'dan 提货单
'ti'qian'qi 提前期
'ti'qian'qi'shui'ping 提前期水平
'tian'zhi'ping'zheng 填制凭证
'tiao'jiao'yu'ce 调焦预测
'tiao'ma'xin'xi'she'zhi 条码信息设置
'tiao'xing'ma 条形码
'tiao'zheng'dan 调整单
'tiao'zheng'ri'qi 调整日期
'tiao'zheng'xian'you'ku'cun'liang 调整现有库存量
'ting'yong'zi'jian'wu'liao'cha'xun 停用子件物料查询
'tong'ji'biao 统计表
'tong'ji'fen'xi 统计分析
'tong'yong'dui'xiang'qing'qiu'dai'li'jie'gou 通用对象请求代理结构
'tong'yong'sheng'chan'guan'li'yuan'ze 通用生产管理原则
'tou'ru'chan'chu'he'dui 投入产出核对
'tou'zi'hui'bao'lv 投资回报率
'tu'xing'yong'hu'jie'mian 图形用户界面
'tuan'dui'jian'li 团队建立
'tui'huo 退货
'tui'huo'dan 退货单
'tui'huo'jian'yan'tong'ji'fen'xi'biao 退货检验统计分析表
'tui'huo'jian'yan'tong'ji'fen'xi'biao'wu'fen 退货检验统计分析表无分
'tui'huo'shen'qing 退货申请
'tui'huo'shen'qing'dan 退货申请单
'tui'huo'shen'qing'dan'lie'biao 退货申请单列表
'tun'ji'ku'cun 囤积库存
'tuo'pan'bao'zhuang 托盘包装
'tuo'qi'yu'bao 拖期预报
'wai'bao 外包
'wai'bi'jin'e 外币金额
'wai'bu'ji'cheng 外部集成
'wai'gou'huo'zi'zhi'jue'ce 外购或自制决策
'wan'cheng'shu'liang 完成数量
'wan'gong'chan'pin'cheng'ben'he'bing'biao 完工产品成本合并表
'wan'gong'chan'pin'cheng'ben'hui'zong'biao 完工产品成本汇总表
'wan'gong'chan'pin'cheng'ben'ming'xi'biao 完工产品成本明细表
'wan'gong'chan'pin'cheng'ben'tai'zhang 完工产品成本台账
'wan'gong'chan'pin'chu'li'biao 完工产品处理表
'wan'gong'chan'pin'ri'bao'biao 完工产品日报表
'wan'zheng'xing 完整性
'wei'guan'bi'xiao'shou'ding'dan'ming'xi'biao 未关闭销售订单明细表
'wei'hu 维护
'wei'hu'xiu'li'cao'zuo'wu'liao 维护修理操作物料
'wei'qing'jin'e 未清金额
'wei'shen'he'dan'ju'cha'xun 未审核单据查询
'wei'shen'he'sheng'chan'ding'dan'ming'xi'biao 未审核生产订单明细表
'wei'wai'dao'huo'pi'liang'ru'ku 委外到货批量入库
'wei'wai'ding'dan'pi'liang'diao'bo 委外订单批量调拨
'wei'wai'ding'dan'pi'liang'fa'tui'liao 委外订单批量发退料
'wei'wai'ding'dan'pi'liang'ling'liao 委外订单批量领料
'wei'wai'ding'dan'pi'liang'ru'ku 委外订单批量入库
'wei'wai'ding'dan'yu'liu'zhuang'kuang 委外订单预留状况
'wei'wai'ding'huo 委外订货
'wei'wai'fa'liao 委外发料
'wei'wai'fa'liao'dan 委外发料单
'wei'wai'fa'liao'lie'biao 委外发料列表
'wei'wai'fa'liao'yu'jing 委外发料预警
'wei'wai'gong'xu'jia'ge'lie'biao 委外工序价格列表
'wei'wai'gua'zhang 委外挂账
'wei'wai'gua'zhang'dan 委外挂账单
'wei'wai'gua'zhang'dan'lie'biao 委外挂账单列表
'wei'wai'he'xiao'tiao'zheng'chu'li 委外核销调整处理
'wei'wai'jia'gong'dan 委外加工单
'wei'wai'jia'gong'dan'lie'biao 委外加工单列表
'wei'wai'jia'gong'dan'zhi'xing'tong'ji'biao 委外加工单执行统计表
'wei'wai'jia'gong'fei'ming'xi'biao 委外加工费明细表
'wei'wai'jia'gong'fei'ming'xi'zhang 委外加工费明细账
'wei'wai'kai'piao 委外开票
'wei'wai'shang'cai'liao'shou'fa'cun'hui'zong'biao 委外商材料收发存汇总表
'wei'wai'shang'fa'liao'ming'xi'biao 委外商发料明细表
'wei'wai'shang'shou'liao'ming'xi'biao 委外商收料明细表
'wei'wai'shang'wu'liao'qing'dan'wei'hu 委外商物料清单维护
'wei'wai'shou'liao 委外收料
'wei'wai'shou'liao'dan 委外收料单
'wei'wai'shou'liao'lie'biao 委外收料列表
'wei'wai'shou'liao'yu'jing 委外收料预警
'wei'wai'yong'liao'yu'liu 委外用料预留
'wei'wan'cheng'ye'wu'ming'xi'biao 未完成业务明细表
'wei'xiu'jian 维修件
'wei'zhi'ding'huo'wei'dan'ju'cha'xun 未指定货位单据查询
'wei'zhi'tiao'zheng 位置调整
'wo'de'bao'biao 我的报表
'wo'de'zhang'biao 我的账表
'wu'jia'shui'ping 物价水平
'wu'liao 物料
'wu'liao'cheng'ben 物料成本
'wu'liao'di'jie'ma'tui'suan 物料低阶码推算
'wu'liao'fa'fang'he'jie'shou 物料发放和接收
'wu'liao'guan'li 物料管理
'wu'liao'he'ding'ji'gou 物料核定机构
'wu'liao'jing'li 物料经理
'wu'liao'ke'yong'liang 物料可用量
'wu'liao'qing'dan 物料清单
'wu'liao'qing'dan'bian'geng'ji'lu'ming'xi'biao 物料清单变更记录明细表
'wu'liao'qing'dan'bian'geng'ji'lu'qing'chu 物料清单变更记录清除
'wu'liao'qing'dan'cha'xun'bao'biao 物料清单查询报表
'wu'liao'qing'dan'cha'yi'bi'jiao 物料清单差异比较
'wu'liao'qing'dan'cha'yi'bi'jiao'biao'bu'tong 物料清单差异比较表不同
'wu'liao'qing'dan'cha'yi'bi'jiao'biao'ding'dan 物料清单差异比较表订单
'wu'liao'qing'dan'cha'yi'bi'jiao'biao'ke'hu 物料清单差异比较表客户
'wu'liao'qing'dan'cha'yi'bi'jiao'biao'ti'dai 物料清单差异比较表替代
'wu'liao'qing'dan'cha'yi'bi'jiao'biao'zhu'yao 物料清单差异比较表主要
'wu'liao'qing'dan'luo'ji'cha'yan 物料清单逻辑查验
'wu'liao'qing'dan'quan'jie'wei'hu 物料清单全阶维护
'wu'liao'qing'dan'ti'dai'liao'ming'xi'biao 物料清单替代料明细表
'wu'liao'qing'dan'wei'hu 物料清单维护
'wu'liao'qing'dan'zheng'pi'xiu'gai 物料清单整批修改
'wu'liao'qing'dan'zi'liao'cha'xun 物料清单资料查询
'wu'liao'qing'dan'zi'liao'wei'hu 物料清单资料维护
'wu'liao'sheng'chan'tong'ji'fen'xi'biao 物料生产统计分析表
'wu'liao'sheng'chan'xian'guan'xi 物料生产线关系
'wu'liao'xiang'mu 物料项目
'wu'liao'xu'qiu'ji'hua 物料需求计划
'wu'liao'zhu'wen'jian 物料主文件
'wu'liu'cheng'ben 物流成本
'wu'liu'cheng'ben'guan'li 物流成本管理
'wu'liu'dan'zheng 物流单证
'wu'liu'guan'li 物流管理
'wu'liu'huo'dong 物流活动
'wu'liu'ji'shu 物流技术
'wu'liu'lian'meng 物流联盟
'wu'liu'mo'shu 物流模数
'wu'liu'qi'ye 物流企业
'wu'liu'wang'luo 物流网络
'wu'liu'xin'xi 物流信息
'wu'liu'zhan'lue 物流战略
'wu'liu'zhan'lue'guan'li 物流战略管理
'wu'liu'zhong'xin 物流中心
'wu'liu'zi'yuan'ji'hua 物流资源计划
'wu'liu'zuo'ye 物流作业
'wu'pin 物品
'wu'pin'cun'chu 物品存储
'wu'shi'duan'xi'tong 无时段系统
'wu'wu'liao'qing'dan'wu'liao'cha'xun 无物料清单物料查询
'wu'xian'pai'fu'he 无限排负荷
'wu'xing'xiao'hao 无形消耗
'wu'xing'zi'chan 无形资产
'xi'tong'tiao'zheng'dan 系统调整单
'xia'da'ding'dan 下达订单
'xia'da'sheng'chan 下达生产
'xia'da'wei'wai 下达委外
'xian'cun'liang'cha'xun 现存量查询
'xian'dai'wu'liao'ban'yun 现代物料搬运
'xian'e'ling'liao 限额领料
'xian'e'ling'liao'dan'lie'biao 限额领料单列表
'xian'e'ling'liao'hui'zong'biao 限额领料汇总表
'xian'jin 现金
'xian'jin'ji'hua'ji'you'hua'ji'shu 先进计划及优化技术
'xian'jin'liu'liang'biao 现金流量表
'xian'jin'liu'liang'ming'xi'biao 现金流量明细表
'xian'jin'liu'liang'ping'zheng'cha'xun 现金流量凭证查询
'xian'jin'liu'liang'tong'ji'biao 现金流量统计表
'xian'jin'ri'ji'zhang 现金日记账
'xian'jin'shou'fu'zhi 现金收付制
'xian'jin'zhi'zao'ji'shu 先进制造技术
'xian'xing'biao'zhun'cheng'ben 现行标准成本
'xian'you'ku'cun'liang 现有库存量
'xian'you'ku'cun'yu'e 现有库存余额
'xian'you'shu'liang 现有数量
'xian'you'yu'e 现有余额
'xian'you'yun'zhuan'gong'shi 现有运转工时
'xian'you'yun'zhuan'shu'liang 现有运转数量
'xiang'mu'bei'zhu 项目备注
'xiang'mu'bian'hao 项目编号
'xiang'mu'bu'men'ming'xi'zhang 项目部门明细账
'xiang'mu'bu'men'zong'zhang 项目部门总账
'xiang'mu'cheng'ben'duo'lan'ming'xi'zhang 项目成本多栏明细账
'xiang'mu'cheng'ben'yi'lan'biao 项目成本一览表
'xiang'mu'duo'lan'ming'xi'zhang 项目多栏明细账
'xiang'mu'duo'lan'zhang 项目多栏账
'xiang'mu'fen'lei'duo'lan'ming'xi'zhang 项目分类多栏明细账
'xiang'mu'fen'lei'ming'xi'zhang 项目分类明细账
'xiang'mu'fen'lei'zong'zhang 项目分类总账
'xiang'mu'fu'zhu'zhang 项目辅助账
'xiang'mu'guan'li 项目管理
'xiang'mu'ji'lu 项目记录
'xiang'mu'ke'gong'liang 项目可供量
'xiang'mu'ke'mu'ming'xi'zhang 项目科目明细账
'xiang'mu'ke'mu'zong'zhang 项目科目总账
'xiang'mu'ming'xi'zhang 项目明细账
'xiang'mu'san'lan'ming'xi'zhang 项目三栏明细账
'xiang'mu'san'lan'zong'zhang 项目三栏总账
'xiang'mu'shuo'ming 项目说明
'xiang'mu'tong'ji'fen'xi 项目统计分析
'xiang'mu'zhuang'tai 项目状态
'xiang'mu'zong'zhang 项目总账
'xiao'shou'bao 销售报
'xiao'shou'bao'jia'dan 销售报价单
'xiao'shou'bao'zhuang 销售包装
'xiao'shou'cheng'ben'jie'zhuan 销售成本结转
